"행정구역","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_계_10~19세","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_계_80~89세","2023년01월_계_90~99세","2023년01월_계_100세 이상"
"서울특별시 성북구 (1129000000)","429,967","429,967","25,703","36,034","65,326","57,365","65,772","70,346","57,553","32,977","16,750","2,092","49"
"서울특별시 성북구 성북동(1129052500)","16,254","16,254","680","1,109","2,664","2,520","2,322","2,700","2,136","1,228","761","128","6"
"서울특별시 성북구 삼선동(1129055500)","22,409","22,409","888","1,725","4,155","3,146","3,164","3,751","2,809","1,686","973","108","4"
"서울특별시 성북구 동선동(1129057500)","15,005","15,005","442","887","4,552","2,449","1,809","1,886","1,431","962","521","64","2"
"서울특별시 성북구 돈암제1동(1129058000)","14,399","14,399","712","1,163","1,849","1,892","1,913","2,610","2,265","1,274","652","68","1"
"서울특별시 성북구 돈암제2동(1129059000)","23,564","23,564","1,757","2,664","2,759","2,792","4,049","4,229","2,896","1,482","801","134","1"
"서울특별시 성북구 안암동(1129060000)","14,974","14,974","391","756","5,465","2,026","1,486","1,931","1,446","898","507","65","3"
"서울특별시 성북구 보문동(1129061000)","16,295","16,295","1,020","1,005","2,690","2,735","2,400","2,667","2,065","1,116","529","67","1"
"서울특별시 성북구 정릉제1동(1129062000)","17,969","17,969","1,264","1,686","2,227","2,397","3,005","2,870","2,343","1,369","725","82","1"
"서울특별시 성북구 정릉제2동(1129063000)","22,693","22,693","1,281","1,708","3,056","3,017","3,308","3,832","3,406","1,992","978","115","0"
"서울특별시 성북구 정릉제3동(1129064000)","15,055","15,055","475","915","3,264","1,829","1,674","2,278","2,284","1,443","784","107","2"
"서울특별시 성북구 정릉제4동(1129065000)","24,410","24,410","1,329","2,008","3,152","2,920","3,782","4,229","3,666","2,122","1,057","142","3"
"서울특별시 성북구 길음제1동(1129066000)","34,805","34,805","3,128","4,965","3,354","3,811","7,370","5,542","3,412","2,103","988","128","4"
"서울특별시 성북구 길음제2동(1129068500)","21,604","21,604","2,042","2,034","2,532","2,935","3,877","3,571","2,607","1,341","582","81","2"
"서울특별시 성북구 종암동(1129070500)","38,103","38,103","2,254","3,468","5,528","4,734","5,976","6,298","5,074","2,864","1,654","244","9"
"서울특별시 성북구 월곡제1동(1129071500)","25,951","25,951","1,696","2,518","2,862","3,333","4,292","4,315","3,659","2,166","998","112","0"
"서울특별시 성북구 월곡제2동(1129072500)","19,154","19,154","889","1,413","3,486","2,624","2,573","2,963","2,718","1,579","814","94","1"
"서울특별시 성북구 장위제1동(1129076000)","23,837","23,837","1,584","1,841","3,162","3,248","3,623","4,151","3,545","1,760","828","92","3"
"서울특별시 성북구 장위제2동(1129077000)","13,384","13,384","527","799","1,811","1,815","1,744","2,326","2,252","1,374","663","71","2"
"서울특별시 성북구 장위제3동(1129078000)","15,720","15,720","1,603","1,316","1,951","2,390","2,660","2,476","1,976","912","395","40","1"
"서울특별시 성북구 석관동(1129081000)","34,382","34,382","1,741","2,054","4,807","4,752","4,745","5,721","5,563","3,306","1,540","150","3"
"서울특별시 강북구 (1130500000)","293,313","293,313","12,701","19,948","39,664","35,801","42,012","50,780","47,456","29,374","14,045","1,489","43"
"서울특별시 강북구 삼양동(1130553400)","22,869","22,869","1,067","1,709","2,892","2,677","3,240","4,163","3,795","2,206","1,008","111","1"
"서울특별시 강북구 미아동(1130553500)","21,109","21,109","628","1,226","3,600","2,724","2,771","3,554","3,494","1,999","1,014","98","1"
"서울특별시 강북구 송중동(1130554500)","29,263","29,263","1,393","1,887","3,975","3,887","4,290","5,052","4,696","2,744","1,219","119","1"
"서울특별시 강북구 송천동(1130555500)","25,539","25,539","856","1,400","3,231","3,017","3,389","4,738","4,706","2,777","1,300","119","6"
"서울특별시 강북구 삼각산동(1130557500)","30,809","30,809","2,430","3,869","3,232","3,311","5,911","5,344","3,584","2,044","973","107","4"
