번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1965,행복하게 나눠 주는 토끼 이야기(움아1),"신더스 매클라우드 지음, 공경희 옮김",웅진주니어,2020,9.7889E+12,,,,,1,1,2021-02-09
1966,안타고니즘,지상현 지음,다돌책방,2020,9.79119E+12,,,,,1,1,2021-02-09
1967,수상한 교육마술,"김택수 외 지음, 강세라 그림",창비교육,2020,9.79117E+12,,,,,1,0,2021-02-09
1968,은밀하고도 달콤한 성차별,"다시 로크먼 지음, 정지호 옮김",푸른숲,2020,9.79116E+12,,,,,1,0,2021-02-09
1969,공정하다는 착각:능력주의는 모두에게 같은 기회를 제공하는가 ,샌델 마이클 샌델 지음;함규진 옮김,와이즈베리,2020,9.79116E+12,,0,,332.6,1,2,2021-02-09
1970,공정하다는 착각:능력주의는 모두에게 같은 기회를 제공하는가 ,샌델 마이클 샌델 지음;함규진 옮김,와이즈베리,2020,9.79116E+12,,0,,332.6,1,2,2021-02-09
1971,공정하다는 착각:능력주의는 모두에게 같은 기회를 제공하는가 ,샌델 마이클 샌델 지음;함규진 옮김,와이즈베리,2020,9.79116E+12,,0,,332.6,1,1,2021-02-09
1972,공정하다는 착각(움도1),"마이클 샌델 지음, 함규진 옮김",와이즈베리,2020,9.79116E+12,,,,,1,1,2021-02-09
1973,메타버스,김상균 지음,플랜비디자인,2020,9.79119E+12,,,,,1,1,2021-02-09
1974,지정학의 힘,김동기 지음,아카넷,2020,9.78896E+12,,,,,1,1,2021-02-09
1975,컬처 레버리지,"존 칠드러스 지음, 신한카드 조직문화팀 옮김",예미,2020,9.79119E+12,,,,,1,0,2021-02-09
1976,브라질 경제발전사,"세우수 푸르따두 지음, 권기수.김용재 옮김",후마니타스,2021,9.78896E+12,,,,,1,0,2021-02-09
1977,심리전이란 무엇인가?,"폴 M. A. 라인바거 지음, 유지훈 옮김",투나미스,2020,9.79119E+12,,,,,1,1,2021-02-09
1978,"동·남중국해, 힘과 힘이 맞서다","마이클 타이 지음, 한승동 옮김",메디치미디어,2020,9.79116E+12,,,,,1,0,2021-02-09
